bookid	responseid	num_sentences	Emotional_impact	Narrative_feeling	Reflection	Aesthetic_feeling	All
41143	398344	26	3	2	1	2	8
41143	397239	21	3	5	0	1	9
41143	397240	21	3	5	0	1	9
41143	397263	21	8	0	0	2	10
41143	397501	21	1	2	0	7	10
41143	193959	20	4	2	1	0	7
41143	279821	20	4	2	1	0	7
41143	397728	20	3	3	1	0	7
41143	397618	19	3	2	2	2	9
41143	397955	19	1	1	0	4	6
41143	397664	17	0	0	0	3	3
41143	397708	17	3	5	0	0	8
41143	279819	16	0	0	2	0	2
41143	397281	15	2	6	1	0	9
41143	397892	15	2	1	0	1	4
41143	397944	15	4	1	0	1	6
41143	217443	14	2	0	1	0	3
41143	279835	14	2	0	0	1	3
41143	397211	14	0	2	2	1	5
41143	397472	14	2	2	3	1	8
41143	397473	14	2	1	1	0	4
41143	397929	14	1	0	0	0	1
41143	397977	14	5	0	0	0	5
41143	397369	13	5	0	0	0	5
41143	397939	13	2	1	1	0	4
41143	398105	13	3	1	0	3	7
41143	279831	12	3	2	1	2	8
41143	279837	12	2	2	0	1	5
41143	397210	12	2	1	0	0	3
41143	397241	12	2	2	0	5	9
41143	397267	12	3	2	1	1	7
41143	397269	12	1	1	1	1	4
41143	397610	12	3	0	0	3	6
41143	397614	12	1	2	0	1	4
41143	397905	12	4	3	0	0	7
41143	183406	11	1	2	0	0	3
41143	397213	11	1	2	2	0	5
41143	397227	11	0	0	0	0	0
41143	397245	11	1	1	0	1	3
41143	397250	11	0	3	1	0	4
41143	397419	11	2	1	1	2	6
41143	397458	11	2	2	0	0	4
41143	397550	11	1	3	2	1	7
41143	397628	11	2	0	0	1	3
41143	397707	11	4	3	0	2	9
41143	397834	11	2	1	0	0	3
41143	398107	11	5	2	0	1	8
41143	398303	11	5	1	0	3	9
41143	187901	10	3	2	1	1	7
41143	200382	10	1	1	0	3	5
41143	220591	10	3	1	2	4	10
41143	279822	10	3	1	0	1	5
41143	279823	10	2	1	1	0	4
41143	397236	10	5	0	0	3	8
41143	397253	10	2	1	0	2	5
41143	397256	10	0	1	1	0	2
41143	397414	10	2	0	1	0	3
41143	397455	10	3	0	0	1	4
41143	397471	10	2	2	0	4	8
41143	397491	10	2	1	0	2	5
41143	397495	10	1	0	0	2	3
41143	398028	10	2	2	0	2	6
41143	398056	10	1	1	1	0	3
41143	398317	10	0	0	0	2	2
41143	398342	10	2	3	0	1	6
41143	185181	9	1	1	3	1	6
41143	209821	9	0	0	0	0	0
41143	212273	9	4	1	1	0	6
41143	217228	9	1	1	0	1	3
41143	219051	9	0	3	1	0	4
41143	369565	9	1	3	0	3	7
41143	397252	9	1	2	0	2	5
41143	397394	9	2	1	0	1	4
41143	397441	9	2	2	0	0	4
41143	397500	9	2	0	1	2	5
41143	397526	9	6	1	0	2	9
41143	397561	9	0	0	0	2	2
41143	397661	9	4	2	0	2	8
41143	397686	9	2	0	0	0	2
41143	397861	9	2	0	0	0	2
41143	397870	9	0	1	2	1	4
41143	397897	9	1	2	0	1	4
41143	397900	9	2	1	0	1	4
41143	397947	9	2	4	1	2	9
41143	397981	9	0	1	1	1	3
41143	398008	9	1	0	0	1	2
41143	398165	9	2	2	0	3	7
41143	398227	9	5	3	0	0	8
41143	398319	9	0	2	0	0	2
41143	398333	9	1	1	0	0	2
41143	398349	9	4	2	0	1	7
41143	189641	8	0	1	0	3	4
41143	198111	8	1	0	0	1	2
41143	279840	8	1	0	0	0	1
41143	369564	8	2	0	1	3	6
41143	397225	8	4	0	1	0	5
41143	397226	8	0	1	0	0	1
41143	397235	8	2	2	0	0	4
41143	397242	8	3	2	0	1	6
41143	397244	8	2	1	0	3	6
41143	397285	8	2	1	1	3	7
41143	397389	8	1	0	1	1	3
41143	397439	8	2	2	0	3	7
41143	397474	8	3	2	0	2	7
41143	397480	8	2	1	0	0	3
41143	397506	8	3	0	0	5	8
41143	397523	8	4	1	1	0	6
41143	397530	8	6	0	0	3	9
41143	397566	8	1	2	0	1	4
41143	397570	8	0	0	0	3	3
41143	397589	8	0	2	1	0	3
41143	397592	8	2	2	0	1	5
41143	397597	8	1	3	3	1	8
41143	397625	8	1	3	0	1	5
41143	397675	8	2	0	0	1	3
41143	397726	8	1	0	0	1	2
41143	397762	8	0	2	0	1	3
41143	397794	8	0	2	0	0	2
41143	397804	8	2	1	0	0	3
41143	397824	8	3	2	0	0	5
41143	397839	8	0	0	0	1	1
41143	397852	8	1	1	1	2	5
41143	397860	8	3	2	1	1	7
41143	397901	8	0	1	0	0	1
41143	397919	8	1	0	0	0	1
41143	397921	8	2	2	3	2	9
41143	398011	8	2	0	0	1	3
41143	398018	8	0	1	0	0	1
41143	398158	8	1	2	0	0	3
41143	398177	8	3	3	0	1	7
41143	398186	8	3	2	0	0	5
41143	398211	8	2	0	0	1	3
41143	398253	8	2	2	1	3	8
41143	398278	8	1	1	0	0	2
41143	398291	8	2	3	0	0	5
41143	398332	8	2	2	0	3	7
41143	398352	8	1	1	0	0	2
41143	183251	7	2	1	0	1	4
41143	187954	7	1	3	0	1	5
41143	213341	7	1	2	0	1	4
41143	214430	7	1	2	0	5	8
41143	214687	7	2	1	2	1	6
41143	216004	7	2	2	0	2	6
41143	220970	7	0	1	0	2	3
41143	397243	7	2	1	0	4	7
41143	397283	7	0	0	0	0	0
41143	397371	7	1	1	0	1	3
41143	397379	7	2	1	0	1	4
41143	397385	7	1	3	1	2	7
41143	397469	7	2	0	1	2	5
41143	397485	7	2	0	1	0	3
41143	397542	7	0	1	0	0	1
41143	397545	7	2	1	0	2	5
41143	397552	7	0	2	0	0	2
41143	397572	7	0	1	0	0	1
41143	397575	7	0	1	0	0	1
41143	397604	7	1	1	0	0	2
41143	397611	7	2	0	0	1	3
41143	397624	7	1	1	0	1	3
41143	397631	7	3	2	0	1	6
41143	397653	7	1	2	0	0	3
41143	397680	7	2	4	0	0	6
41143	397692	7	0	0	1	1	2
41143	397693	7	2	1	0	0	3
41143	397700	7	1	1	0	1	3
41143	397738	7	0	0	0	0	0
41143	397743	7	0	0	0	3	3
41143	397756	7	1	0	0	0	1
41143	397764	7	1	5	0	1	7
41143	397774	7	2	0	0	2	4
41143	397785	7	0	0	0	2	2
41143	397786	7	3	0	0	1	4
41143	397791	7	2	3	0	0	5
41143	397792	7	0	2	1	0	3
41143	397798	7	1	0	1	0	2
41143	397813	7	1	0	0	0	1
41143	397819	7	1	1	0	0	2
41143	397866	7	0	0	0	2	2
41143	397867	7	1	1	0	2	4
41143	397874	7	3	1	0	0	4
41143	397894	7	0	1	0	0	1
41143	397896	7	1	1	0	0	2
41143	397959	7	1	2	0	1	4
41143	397975	7	0	0	0	0	0
41143	397984	7	1	2	0	0	3
41143	397994	7	1	1	0	0	2
41143	398013	7	1	2	0	2	5
41143	398052	7	1	0	0	0	1
41143	398061	7	3	0	0	2	5
41143	398080	7	0	2	0	1	3
41143	398097	7	1	3	1	3	8
41143	398098	7	1	1	0	0	2
41143	398103	7	3	2	0	0	5
41143	398121	7	4	1	0	0	5
41143	398133	7	3	0	1	0	4
41143	398141	7	0	0	0	1	1
41143	398169	7	2	0	1	3	6
41143	398183	7	3	3	0	0	6
41143	398198	7	2	0	0	1	3
41143	398204	7	2	2	0	1	5
41143	398221	7	0	4	0	1	5
41143	398234	7	0	2	0	0	2
41143	398243	7	1	1	0	0	2
41143	398244	7	1	0	0	1	2
41143	398258	7	2	1	0	3	6
41143	398276	7	2	0	0	2	4
41143	398293	7	1	1	0	1	3
41143	398316	7	0	2	0	0	2
41143	398338	7	2	1	0	1	4
41143	398346	7	2	0	0	0	2
41143	398356	7	2	3	0	2	7
41143	398360	7	3	2	0	0	5
41143	186432	6	2	1	0	0	3
41143	197302	6	1	2	0	0	3
41143	200627	6	1	4	0	1	6
41143	204986	6	0	2	0	2	4
41143	206663	6	0	0	0	1	1
41143	207099	6	1	1	0	3	5
41143	207642	6	4	1	0	1	6
41143	216843	6	2	1	2	0	5
41143	220382	6	1	0	0	2	3
41143	220511	6	1	3	0	0	4
41143	279836	6	1	0	0	1	2
41143	279838	6	2	1	0	1	4
41143	397212	6	0	1	0	0	1
41143	397217	6	1	0	0	0	1
41143	397231	6	0	4	0	2	6
41143	397251	6	2	0	0	1	3
41143	397275	6	2	1	1	0	4
41143	397290	6	0	0	1	0	1
41143	397295	6	0	2	0	0	2
41143	397381	6	0	1	0	0	1
41143	397391	6	0	0	0	1	1
41143	397396	6	4	1	0	2	7
41143	397445	6	2	1	0	0	3
41143	397446	6	1	2	0	3	6
41143	397484	6	1	1	0	0	2
41143	397497	6	2	3	0	0	5
41143	397502	6	0	0	0	1	1
41143	397514	6	0	0	0	1	1
41143	397573	6	1	1	0	1	3
41143	397585	6	2	0	0	0	2
41143	397593	6	4	0	0	1	5
41143	397595	6	0	1	0	0	1
41143	397605	6	2	0	0	0	2
41143	397607	6	4	1	1	2	8
41143	397615	6	1	1	0	0	2
41143	397629	6	3	0	0	0	3
41143	397635	6	2	1	0	1	4
41143	397637	6	0	0	1	1	2
41143	397647	6	0	1	0	1	2
41143	397651	6	1	1	0	1	3
41143	397674	6	1	1	0	1	3
41143	397683	6	0	0	0	1	1
41143	397689	6	0	0	1	0	1
41143	397711	6	0	0	0	0	0
41143	397713	6	0	2	0	1	3
41143	397720	6	1	1	0	2	4
41143	397744	6	1	1	0	0	2
41143	397749	6	1	1	0	2	4
41143	397761	6	4	2	0	2	8
41143	397789	6	1	2	1	1	5
41143	397822	6	2	0	0	1	3
41143	397823	6	2	2	0	0	4
41143	397868	6	1	1	1	1	4
