IRA >= 0.7	emotional_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	0	42 (0.33)	6 (0.05)	13 (0.1)	2 (0.02)	6 (0.05)	5 (0.04)	23 (0.18)	5 (0.04)	26 (0.2)	128
	1	0 (0.0)	1 (0.02)	2 (0.04)	2 (0.04)	4 (0.07)	0 (0.0)	25 (0.45)	1 (0.02)	20 (0.36)	55
IRA < 0.7	emotional_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	1	1 (0.03)	0 (0.0)	1 (0.03)	1 (0.03)	6 (0.2)	0 (0.0)	10 (0.33)	1 (0.03)	10 (0.33)	30
IRA >= 0.7	style_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	0	115 (0.65)	12 (0.07)	21 (0.12)	4 (0.02)	11 (0.06)	2 (0.01)	7 (0.04)	1 (0.01)	5 (0.03)	178
	1	2 (0.12)	0 (0.0)	0 (0.0)	0 (0.0)	1 (0.06)	0 (0.0)	3 (0.19)	0 (0.0)	10 (0.62)	16
IRA < 0.7	style_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	1	1 (0.07)	0 (0.0)	2 (0.14)	0 (0.0)	0 (0.0)	0 (0.0)	5 (0.36)	0 (0.0)	6 (0.43)	14
IRA >= 0.7	reflection_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	0	51 (0.41)	6 (0.05)	11 (0.09)	1 (0.01)	11 (0.09)	5 (0.04)	13 (0.11)	4 (0.03)	21 (0.17)	123
	1	0 (0.0)	1 (0.2)	1 (0.2)	0 (0.0)	0 (0.0)	1 (0.2)	0 (0.0)	0 (0.0)	2 (0.4)	5
IRA < 0.7	reflection_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	1	1 (0.12)	0 (0.0)	1 (0.12)	0 (0.0)	1 (0.12)	0 (0.0)	4 (0.5)	0 (0.0)	1 (0.12)	8
IRA >= 0.7	narrative_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	0	54 (0.43)	6 (0.05)	12 (0.09)	0 (0.0)	7 (0.06)	1 (0.01)	21 (0.17)	5 (0.04)	21 (0.17)	127
	1	0 (0.0)	0 (0.0)	1 (0.05)	1 (0.05)	1 (0.05)	1 (0.05)	7 (0.35)	0 (0.0)	9 (0.45)	20
IRA < 0.7	narrative_scale	human rating
	model	0.0	0.5	1.0	1.5	2.0	2.5	3.0	3.5	4.0	total
	1	5 (0.23)	0 (0.0)	1 (0.05)	0 (0.0)	5 (0.23)	0 (0.0)	8 (0.36)	1 (0.05)	2 (0.09)	22
